brand,description,category,price,image_url,product_url
Helene,Lehenga Blouse With Dupatta,lehnga,Rs. 1299Rs. 2499(48% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/18/HIrljPMe_1e98438a4b894e0ea46b51d6fc83e21c.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/helene/helene-girls-printed-kalamkari-ready-to-wear-lehenga--blouse-with-dupatta/35793819/buy
JUNITOS,Ready to Wear Lehenga Choli,lehnga,Rs. 1499Rs. 2499(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/2/1UDz83rz_70e2ff4c8a7a4799ab9251a76b5f775c.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/junitos/junitos-girls-ethnic-motifs-printed-ready-to-wear-cotton-lehenga--blouse-with-dupatta/30444499/buy
Shae by SASSAFRAS,Ready to Wear Lehenga,lehnga,Rs. 2015Rs. 4799(58% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/19/4ciNpa5t_7444a805a1754160b591a82fa560d674.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/shae+by+sassafras/shae-by-sassafras-printed-ready-to-wear-lehenga-/33696436/buy
JOVK DESIGN,Ready to Wear Lehenga & Choli,lehnga,Rs. 2499,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/5/KQhlf7Fk_fcdf32de663a46499025a63743d3bbcb.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-tie--dye-ready-to-wear-lehenga--choli/33480242/buy
JUNITOS,Ready to Wear Lehenga Choli,lehnga,Rs. 1499Rs. 2499(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/2/S2MvAbDR_69f1781b8b0f4ac68dc8bc860b7e73b6.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/junitos/junitos-girls-ethnic-motifs-printed-ready-to-wear-cotton-lehenga--blouse-with-dupatta/30444490/buy
Shae by SASSAFRAS,Ready to Wear Lehenga,lehnga,Rs. 1599Rs. 3999(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18342936/2022/5/26/1a72791c-d364-4410-b331-95a8454467f91653565279462BhamaCoutureMaroonKurtawithFoilPrintShararaCo-OrdsShaebySASS1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/shae+by+sassafras/shae-by-sassafras-beige--pink-printed-ready-to-wear-lehenga/18342936/buy
Fabcartz,Semi Stitched Lehenga Choli,lehnga,Rs. 1799Rs. 5999(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29938292/2024/6/11/2cf45193-1eb2-4642-b0d1-2332c56c98c01718090952904LehengaCholi1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/fabcartz/fabcartz-woven-design-semi-stitched-lehenga--unstitched-blouse-with-dupatta/29938292/buy
JUNITOS,Ready to Wear Lehenga Choli,lehnga,Rs. 1499Rs. 2499(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/2/BhqLNX5m_4361539c95604518bb20dbf75394ea2f.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/junitos/junitos-girls-printed-sequinned-pure-cotton-ready-to-wear-lehenga--blouse-with-dupatta/30444500/buy
LOOKNBOOK ART,Ready to Wear Lehenga Unstitched Blouse With Dupatta,lehnga,Rs. 1661Rs. 4747(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/26/OAsCu8ZC_ac77a23995d74470b00a218653e02ae1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/looknbook+art/looknbook-art-ready-to-wear-lehenga--unstitched-blouse-with-dupatta/31753645/buy
Aarika,Ready to Wear Lehenga Choli,lehnga,Rs. 1599Rs. 3999(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/16/sztc7XBC_b1c6e0fb63214de797c2868b639251a2.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/aarika/aarika-girls-printed-ready-to-wear-lehenga--blouse-with-dupatta/34154618/buy
