brand,description,category,price,image_url,product_url
Saffron Threads,Embroidered Kurti,kurti,Rs. 895Rs. 1599(44% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/1/sjWYVlNO_608976fd2a134a1e94e9901a357157d5.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/saffron+threads/saffron-threads-embroidered-mandarin-collar-kurti/36118749/buy
Sangria,Floral Printed Kurti,kurti,Rs. 659Rs. 2199(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/5/1ApB9wgw_a464cc137fb0469c9a3695bed75f8658.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/sangria/sangria-floral-printed-kurti/33960688/buy
Sangria,Floral Printed Longline Top,kurti,Rs. 639Rs. 1999(68% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/22/yLRB6bj8_35159567d5024653bca99f3cd0b51017.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/sangria/sangria-floral-printed-mandarin-collar-longline-top/33724592/buy
Indietoga,Solid Kurti,kurti,Rs. 742Rs. 2650(72% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/11/4/9a8e54af-2def-4887-8e36-0523c72c2b0a1604431220062-1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/indietoga/indietoga-women-sea-green-solid-kurti/12886974/buy
Anouk Rustic,Printed Pure Cotton Short Kurti,kurti,Rs. 492Rs. 1699(71% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/18/5EBuM5rC_18a6e44f372f4f63ae59cf42ec51e488.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-printed-v-neck-pure-cotton-short-kurti/30984239/buy
FERANOID,Pure Cotton Kurti,kurti,Rs. 749Rs. 2999(75% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/35250173/2025/7/7/889cca4f-fd09-4ab8-9e56-b503ed84cc651751890744406-FERANOID-Women-Kurtis-801751890743949-1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/feranoid/feranoid-pure-cotton-kurti/35250173/buy
ZAZADIYA ENTERPRISE,Women White Kurtis,kurti,Rs. 499,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/7/jHK8ALGR_2d969b75c7a04aa98175323d9195bf52.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/zazadiya+enterprise/zazadiya-enterprise-women-white-kurtis/35434028/buy
Sangria,Sweetheart Neck Tops,kurti,Rs. 679Rs. 1999(66% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/2/aGujMN2f_7bb8f7b10bb74704a1f8dad9d3f8e333.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/sangria/sangria-embroidered-sweetheart-neck-tops/33439440/buy
Brownverse,Women Floral Pure Cotton Kurti,kurti,Rs. 1499,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/19/5DVPyGVW_3a54d13d3c1948f998659bed055adfa3.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/brownverse/brownverse-women-floral-embroidered-thread-work-pure-cotton-khadi-thread-work-kurti/31670227/buy
Brownverse,Embroidered Pure Cotton Kurti,kurti,Rs. 1499,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/19/9BiB0p03_aaa736c3148b4546903e60a7d96c4edb.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/brownverse/brownverse-women-floral-embroidered-pure-cotton-khadi-thread-work-kurti/31670224/buy
Anouk,Embroidered Straight Short Kurti,kurti,Rs. 659Rs. 1999(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/5/jl04wEOW_7fd313ce1d6d47fa8752748e9b8d886f.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/anouk/anouk-floral-embroidered-puff-sleeves-straight-short-kurti/30478606/buy
TOP N THREAD,Floral Embroidered Kurti,kurti,Rs. 480Rs. 3699(87% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30206399/2024/JULY/13/xTYmp9jO_8e21742d736a48768433815d0d89b2e7.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/top+n+thread/top-n-thread-floral-embroidered-chikankari-chikankari-kurti/30206399/buy
NAZAQAT ETHNIC INDIA,Ethnic Motifs Embroidered Kurti,kurti,Rs. 795Rs. 3180(75% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/27/5LlurGzY_120588bd656e4358a775c954d130317d.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/nazaqat+ethnic+india/nazaqat-ethnic-india-ethnic-motifs-embroidered-thread-work-thread-work-kurti/32503034/buy
FERANOID,Pure Cotton Kurti,kurti,Rs. 749Rs. 2999(75% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/35250171/2025/7/7/45668909-9d2f-4631-be4a-c7d8dea648b11751890740665-FERANOID-Women-Kurtis-9801751890740228-1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/feranoid/feranoid-pure-cotton-kurti/35250171/buy
