brand,description,category,price,image_url,product_url
Bewakoof,Cotton Oversized T-shirt,women-tshirt,Rs. 549Rs. 1499(Rs. 950 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22021324/2024/3/22/739ed9c1-58fe-41cf-93e2-6875fb3fbd8d1711085490386-Bewakoof-Being-Cute-Is-My-Superpower-Graphic-Printed-Oversiz-7.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/bewakoof/bewakoof-being-cute-is-my-superpower-graphic-printed-oversized-t-shirt/22021324/buy
Roadster,Printed Oversized T-shirt,women-tshirt,Rs. 339Rs. 999(66% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27087574/2024/2/28/8f7ecf99-dc4d-4fb9-ab47-128cf9e3ce6c1709111941711-Roadster-Women-Tshirts-5001709111941315-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-printed-oversized-cotton-t-shirt/27087574/buy
DILLINGER,Typography Printed T-shirt,women-tshirt,Rs. 405Rs. 1399(71% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30817758/2024/9/12/a786537e-0dca-4ec9-9510-02d99daa6ee41726136495697-Dillinger-Womens-Oversized-Printed-Tshirt-4281726136495182-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/dillinger/dillinger-varsity-printed-oversized-pure-cotton-t-shirt/30817758/buy
Bewakoof,Women Relaxed Fit T-shirt,women-tshirt,Rs. 449Rs. 1099(Rs. 650 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19341492/2022/8/1/3153450d-c052-4659-96d4-3f003c205e8e1659367756828BewakoofRedPrintedTshirts1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/bewakoof/bewakoof-women-sarcastic-one-boyfriend-relaxed-fit-t-shirt/19341492/buy
H&M,Printed T-Shirt,women-tshirt,Rs. 699,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/19/G7QZq9fc_403a191847b74b3d877de8f8a55a83b8.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/h%26m/hm-printed-t-shirt/35038400/buy
Roadster,Typography Printed T-shirt,women-tshirt,Rs. 279Rs. 999(72% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31570112/2025/8/5/e10046bc-c8ac-49f2-90cb-21433dd0d0f31754387240541-The-Roadster-Life-Co-Typography-Printed-T-shirt-600175438723-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/roadster/the-roadster-life-co-typography-printed-t-shirt/31570112/buy
CULT,Women Solid T-shirt,women-tshirt,Rs. 662Rs. 1299(49% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31276374/2024/11/19/b2285254-e01f-4600-82ed-0ad5ba458ba31732003697433-CULT-Women-Moisture-Wicking-Solid-Round-Neck-T-shirt-8831732-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/cult/cult-women-moisture-wicking-solid-round-neck-t-shirt/31276374/buy
CULT,Printed Oversized T-shirt,women-tshirt,Rs. 675Rs. 1299(48% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/6/1xiytNI7_ac690bb2ce4f42c8bb831c2594ffd23e.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/cult/cult-typography-printed-drop-shoulder-sleeves-bio-finish-oversized-fit-pure-cotton-t-shirt/31545236/buy
Roadster,Printed Boxy Crop T-shirt,women-tshirt,Rs. 269Rs. 899(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20355650/2025/6/18/04f8d023-66df-4863-88a1-8a18b39e17d51750241653200-The-Roadster-Lifestyle-Co-Women-Printed-Extended-Sleeves-Box-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-women-printed-extended-sleeves-boxy-fit-crop-t-shirt/20355650/buy
Bewakoof,Women Printed Cotton T-shirt,women-tshirt,Rs. 549Rs. 1499(Rs. 950 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32659926/2025/2/12/99e2606f-4497-4c58-becd-a21d8fa78a0d1739352193648-Bewakoof-Women-Donald-Duck-Printed-T-shirt-1921739352193217-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/bewakoof/bewakoof-official-disney-merchandise-donald-duck-womens-graphic-printed-oversized-t-shirt/32659926/buy
Roadster,Printed Slim Fit T-shirt,women-tshirt,Rs. 299Rs. 599(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32417039/2025/4/23/6059fade-d415-4e89-a8b5-08a971a1f92e1745408624382-Roadster-Women-Tshirts-691745408623752-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/roadster/the-roadster-life-co-typography-printed-slim-fit-t-shirt/32417039/buy
MACK JONNEY,Women Printed Applique T-shirt,women-tshirt,Rs. 279Rs. 999(72% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/20/LKHnTFOS_eff41e41cb65488eb48bc8d68f425c2c.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/mack+jonney/mack-jonney-women-printed-extended-sleeves-applique-t-shirt/33272186/buy
